change_id,tags
4_change165,+Complexity|+Size|+NumPullRequests|+WordsInDiscussion|LowChangeSet|LowCodeChurn|MajorContributor
4_change164,+Complexity|+Size|+NumPullRequests|+WordsInDiscussion|LowChangeSet|LowCodeChurn|+Contributor|MinorContributor
4_change163,+NumPullRequests|+WordsInDiscussion|LowChangeSet|LowCodeChurn|MajorContributor
4_change162,+NumPullRequests|+WordsInDiscussion|LowChangeSet|LowCodeChurn|MajorContributor
4_change161,+WordsInDiscussion|HighChangeSet|LowHunksCount|HighCodeChurn|+Contributor|MinorContributor
4_change160,+Coupling|+Size|+WordsInDiscussion|HighHunksCount|MinorContributor
4_change159,-Cohesion|+Coupling|+Complexity|+Size|+WordsInDiscussion|-WordsPerComment|HighHunksCount|MajorContributor
4_change158,-Cohesion|+Coupling|-Complexity|-Size|+WordsInDiscussion|+WordsPerComment|HighHunksCount|HighCodeChurn|MajorContributor
4_change157,-Cohesion|+Size|+WordsInDiscussion|+WordsPerComment|HighHunksCount|HighCodeChurn|MajorContributor
4_change156,+WordsInDiscussion|+WordsPerComment|HighCodeChurn|MajorContributor
4_change155,+WordsInDiscussion|-WordsPerComment|MajorContributor
4_change154,+Coupling|+Size|+WordsInDiscussion|-WordsPerComment|MajorContributor
4_change153,+Size|+WordsInDiscussion|+WordsPerComment|LowCodeChurn|MajorContributor
4_change152,+WordsInDiscussion|+WordsPerComment|HighHunksCount|+Contributor|MinorContributor
4_change151,+Size|+WordsInDiscussion|+WordsPerComment|LowChangeSet|MinorContributor
4_change150,+Complexity|+Size|+WordsInDiscussion|-WordsPerComment|LowChangeSet|LowCodeChurn|+Contributor|MinorContributor
4_change149,+Size|+WordsInDiscussion|+WordsPerComment|LowChangeSet|LowCodeChurn|+Contributor|MinorContributor
4_change148,HighHunksCount|HighCodeChurn|MinorContributor
4_change147,+Coupling|+Size|+WordsInDiscussion|+WordsPerComment|LowCodeChurn|MinorContributor
4_change146,+WordsInDiscussion|+WordsPerComment|HighHunksCount|HighCodeChurn|MinorContributor
4_change145,-Cohesion|+Complexity|+Size|+WordsInDiscussion|-WordsPerComment|LowChangeSet|LowCodeChurn|+Contributor|MinorContributor
4_change144,+Cohesion|-Complexity|-Size|+WordsInDiscussion|-WordsPerComment|LowChangeSet|LowCodeChurn|MinorContributor
4_change143,-Cohesion|+Complexity|+Size|+WordsInDiscussion|+WordsPerComment|MajorContributor
4_change142,+Cohesion|-Complexity|-Size|+WordsInDiscussion|-WordsPerComment|HighHunksCount|MajorContributor
4_change141,+Cohesion|-Complexity|-Size|+WordsInDiscussion|+WordsPerComment|HighChangeSet|HighHunksCount|HighCodeChurn|MajorContributor
4_change140,-Size|+WordsInDiscussion|+WordsPerComment|HighChangeSet|HighHunksCount|HighCodeChurn|MajorContributor
4_change139,-Size|+WordsInDiscussion|+WordsPerComment|HighHunksCount|MajorContributor
4_change138,+Size|+WordsInDiscussion|-WordsPerComment|MajorContributor
4_change137,-Size|+WordsInDiscussion|+WordsPerComment|HighChangeSet|HighCodeChurn|MajorContributor
4_change136,+Coupling|+Size|+WordsInDiscussion|-WordsPerComment|MajorContributor
4_change135,-Cohesion|+Coupling|+Complexity|+Size|+WordsInDiscussion|+WordsPerComment|LowChangeSet|LowCodeChurn|MajorContributor
4_change134,-Coupling|-Complexity|-Size|+WordsInDiscussion|+WordsPerComment|+Contributor|MinorContributor
4_change133,-Size|+WordsInDiscussion|+WordsPerComment|MajorContributor
4_change132,+WordsInDiscussion|+WordsPerComment|HighChangeSet|HighCodeChurn|MajorContributor
4_change131,+WordsInDiscussion|-WordsPerComment|HighChangeSet|HighCodeChurn|MajorContributor
4_change130,+WordsInDiscussion|-WordsPerComment|HighChangeSet|MajorContributor
4_change129,+WordsInDiscussion|-WordsPerComment|HighChangeSet|MajorContributor
4_change128,+Coupling|+Size|+WordsInDiscussion|-WordsPerComment|HighChangeSet|HighCodeChurn|MajorContributor
4_change127,+Coupling|-Complexity|+Size|+WordsInDiscussion|+WordsPerComment|MajorContributor
4_change126,+WordsInDiscussion|+WordsPerComment|MajorContributor
4_change125,+Coupling|-Complexity|+Size|+WordsInDiscussion|-WordsPerComment|LowChangeSet|LowCodeChurn|MajorContributor
4_change124,+Complexity|-Size|+WordsInDiscussion|-WordsPerComment|LowChangeSet|LowCodeChurn|MajorContributor
4_change123,+Cohesion|+Coupling|-Complexity|+Size|+WordsInDiscussion|+WordsPerComment|HighHunksCount|MajorContributor|ExtractionRefactoring
