change_id,tags
181_change2,-Cohesion|-Coupling|+Complexity|-Size|LowChangeSet|HighHunksCount|LowCodeChurn|MajorContributor
181_change1,+Cohesion|+Coupling|+Complexity|+Size|MajorContributor
182_change1,HighHunksCount|+Contributor|MinorContributor
183_change1,HighHunksCount|+Contributor|MinorContributor
184_change2,LowChangeSet|LowCodeChurn|MajorContributor
184_change1,HighHunksCount|+Contributor|MinorContributor
185_change1,+Contributor|MinorContributor
186_change1,-Coupling|+Contributor|MinorContributor
188_change1,+Contributor|MinorContributor
189_change1,-Coupling|+Contributor|MinorContributor
192_change2,HighHunksCount|+Contributor|MinorContributor
192_change1,LowChangeSet|MajorContributor
193_change7,+Cohesion|-Coupling|-Complexity|-Size|LowChangeSet|HighHunksCount|LowCodeChurn|+Contributor|MajorContributor
193_change6,+Cohesion|-Coupling|-Complexity|-Size|LowChangeSet|HighHunksCount|LowCodeChurn|MajorContributor
193_change5,-Coupling|HighHunksCount|+Contributor|MinorContributor
193_change4,-Size|LowChangeSet|HighHunksCount|LowCodeChurn|MajorContributor
193_change3,-Coupling|-Size|LowChangeSet|MajorContributor
193_change2,+Cohesion|-Coupling|-Complexity|-Size|LowChangeSet|LowCodeChurn|MajorContributor
193_change1,-Cohesion|-Coupling|-Complexity|-Size|LowChangeSet|HighHunksCount|+Contributor|MajorContributor
196_change1,+Contributor|MinorContributor
199_change3,LowChangeSet|LowCodeChurn|+Contributor|MinorContributor
199_change2,LowCodeChurn|MajorContributor
199_change1,HighHunksCount|+Contributor|MinorContributor
201_change3,-Coupling|HighHunksCount|+Contributor|MinorContributor
201_change2,-Size|LowChangeSet|LowCodeChurn|MajorContributor
201_change1,+Cohesion|-Complexity|-Size|LowChangeSet|+Contributor|MinorContributor
202_change2,+Size|LowChangeSet|LowCodeChurn|MajorContributor
202_change1,+Size|LowChangeSet|LowCodeChurn|MajorContributor
203_change2,-Cohesion|+Coupling|+Complexity|+Size|LowChangeSet|LowCodeChurn|MajorContributor
203_change1,+Contributor|MinorContributor
205_change2,HighHunksCount|+Contributor|MinorContributor
205_change1,-Size|LowChangeSet|LowCodeChurn|MajorContributor
206_change2,-Size|LowChangeSet|LowCodeChurn|MajorContributor
206_change1,-Size|+Contributor|MinorContributor
207_change1,-Coupling|-Size|LowChangeSet|LowCodeChurn|MajorContributor
208_change3,+Coupling|+Complexity|+Size|LowChangeSet|HighHunksCount|LowCodeChurn|MajorContributor
208_change2,+Contributor|MinorContributor
208_change1,-Cohesion|+Coupling|+Complexity|+Size|MajorContributor
210_change2,+Size|LowChangeSet|LowCodeChurn|MajorContributor
210_change1,+Coupling|+Contributor|MinorContributor
212_change2,HighHunksCount|+Contributor|MajorContributor
212_change1,LowChangeSet|LowCodeChurn|MajorContributor
213_change2,-Coupling|HighHunksCount|+Contributor|MinorContributor
213_change1,+Contributor|MinorContributor
215_change1,-Coupling|+Contributor|MinorContributor
217_change2,LowChangeSet|LowCodeChurn|MajorContributor
217_change1,-Coupling|HighHunksCount|+Contributor|MinorContributor
218_change1,+Contributor|MinorContributor
219_change1,+Contributor|MinorContributor
220_change1,-Coupling|+Contributor|MinorContributor
221_change1,-Coupling|+Contributor|MinorContributor
222_change1,-Coupling|+Contributor|MinorContributor
223_change2,+Cohesion|-Coupling|-Complexity|-Size|LowChangeSet|HighHunksCount|LowCodeChurn|MajorContributor
223_change1,+Contributor|MinorContributor
224_change4,-Coupling|HighHunksCount|+Contributor|MinorContributor
224_change3,HighHunksCount|+Contributor|MinorContributor
224_change2,-Cohesion|+Complexity|-Size|LowChangeSet|HighHunksCount|LowCodeChurn|MajorContributor
224_change1,+Cohesion|+Complexity|+Size|MajorContributor
225_change2,-Coupling|+Contributor|MinorContributor
225_change1,HighHunksCount|+Contributor|MinorContributor
226_change4,+Coupling|LowCodeChurn|MajorContributor
226_change3,-Coupling|HighHunksCount|+Contributor|MinorContributor
226_change2,HighHunksCount|+Contributor|MinorContributor
226_change1,-Cohesion|+Coupling|+Complexity|+Size|MajorContributor
227_change2,-Coupling|HighHunksCount|+Contributor|MinorContributor
227_change1,HighHunksCount|+Contributor|MajorContributor
228_change2,-Coupling|HighHunksCount|+Contributor|MinorContributor
228_change1,HighHunksCount|+Contributor|MinorContributor
229_change2,-Coupling|HighHunksCount|+Contributor|MinorContributor
229_change1,HighHunksCount|+Contributor|MinorContributor
230_change2,-Coupling|HighHunksCount|+Contributor|MinorContributor
230_change1,HighHunksCount|+Contributor|MinorContributor
231_change2,-Coupling|+Contributor|MinorContributor
231_change1,HighHunksCount|+Contributor|MinorContributor
232_change2,-Coupling|HighHunksCount|+Contributor|MinorContributor
232_change1,+Contributor|MinorContributor
233_change2,-Coupling|+Contributor|MinorContributor
233_change1,+Contributor|MinorContributor
234_change2,-Coupling|+Contributor|MinorContributor
234_change1,HighHunksCount|+Contributor|MinorContributor
