change_id,tags
33_change2,HighChangeSet|+Contributor|MinorContributor
33_change1,-Cohesion|+Coupling|+Size|LowChangeSet|+Contributor|MajorContributor
34_change1,+NumPullRequests|HighChangeSet|HighCodeChurn|+Contributor|MinorContributor
36_change7,+Cohesion|+Complexity|+Size|+NumPullRequests|HighChangeSet|HighCodeChurn|+Contributor|MajorContributor
36_change6,+Cohesion|-Coupling|-Complexity|-Size|+NumPullRequests|LowChangeSet|HighHunksCount|MajorContributor|RenameRefactoring
36_change5,+Cohesion|-Coupling|-Size|+NumPullRequests|HighHunksCount|HighCodeChurn|MajorContributor
36_change4,-Cohesion|+Coupling|+Complexity|+Size|+NumPullRequests|HighHunksCount|+Contributor|MajorContributor
36_change3,-Coupling|+Size|MinorContributor
36_change2,LowCodeChurn|+Contributor|MinorContributor
36_change1,-Cohesion|+Coupling|-Complexity|-Size|LowChangeSet|HighHunksCount|LowCodeChurn|+Contributor|MinorContributor
41_change2,-Cohesion|+Coupling|+Size|+Inheritance|LowHunksCount|+Contributor|MinorContributor
41_change1,-Coupling|-Size|HighHunksCount|+Contributor|MajorContributor
42_change1,+NumPullRequests|+WordsInDiscussion|+Contributor|MinorContributor
43_change1,+Coupling|+Complexity|+Size|HighHunksCount|+Contributor|MajorContributor
44_change1,+Cohesion|+Coupling|+Size|HighHunksCount|+Contributor|MajorContributor
45_change1,+Cohesion|+Coupling|+Complexity|+Size|HighHunksCount|+Contributor|MajorContributor
48_change1,+Cohesion|+Size|HighHunksCount|+Contributor|MajorContributor
51_change1,+Coupling|HighHunksCount|+Contributor|MajorContributor
52_change6,-Size|+NumPullRequests|LowChangeSet|LowCodeChurn|+Contributor|MinorContributor
52_change5,+Size|+NumPullRequests|MinorContributor
52_change4,-Cohesion|+Coupling|+Complexity|-Size|HighHunksCount|HighCodeChurn|MajorContributor
52_change3,+Coupling|-Size|LowChangeSet|LowCodeChurn|MajorContributor
52_change2,-Coupling|-Complexity|-Size|LowChangeSet|LowCodeChurn|+Contributor|MinorContributor
52_change1,+Cohesion|+Coupling|+Size|+NumPullRequests|+WordsInDiscussion|+WordsPerComment|HighHunksCount|HighCodeChurn|MajorContributor
53_change6,LowHunksCount|+Contributor|MinorContributor
53_change5,-Cohesion|-Complexity|-Size|+Contributor|MinorContributor
53_change4,+Cohesion|+Complexity|+Size|+Contributor|MajorContributor
53_change3,+Size|MinorContributor
53_change2,+Cohesion|+Complexity|+Size|MajorContributor
53_change1,+Cohesion|+Coupling|+Complexity|+Size|MajorContributor
55_change11,LowHunksCount|+Contributor|MinorContributor
55_change10,-Cohesion|-Complexity|-Size|+Contributor|MinorContributor
55_change9,+Cohesion|+Complexity|+Size|+Contributor|MajorContributor
55_change8,+Cohesion|+Coupling|+Complexity|+Size|MajorContributor|RenameRefactoring
55_change7,+Cohesion|+Complexity|+Size|HighHunksCount|MajorContributor
55_change6,-Cohesion|+Complexity|+Size|MajorContributor
