Items,Antecedent,Consequent,Support,Confidence,Lift
"+Contributor, -Size, MajorContributor, HighCodeChurn","+Contributor, MajorContributor, HighCodeChurn",-Size,0.04809930178432894,0.3212435233160622,3.0447272173117956
"+Contributor, -Size, MajorContributor, HighHunksCount","+Contributor, MajorContributor, HighHunksCount",-Size,0.02404965089216447,0.4428571428571429,4.197373949579832
"+Size, LowCodeChurn, LowChangeSet, MajorContributor","LowCodeChurn, LowChangeSet, MajorContributor",+Size,0.011636927851047323,0.42857142857142855,3.75801749271137
"-Size, HighHunksCount, HighChangeSet, -Complexity","HighChangeSet, HighHunksCount","-Size, -Complexity",0.013188518231186967,0.3617021276595745,6.134658454647257
"-Size, HighHunksCount, HighCodeChurn, -Complexity","HighCodeChurn, HighHunksCount","-Size, -Complexity",0.013188518231186967,0.3617021276595745,6.134658454647257
"HighHunksCount, HighChangeSet, HighCodeChurn, -Complexity","HighChangeSet, HighCodeChurn, HighHunksCount",-Complexity,0.02482544608223429,0.6808510638297873,4.8756501182033105
"MajorContributor, HighChangeSet, HighCodeChurn, -Complexity","MajorContributor, HighChangeSet, HighCodeChurn",-Complexity,0.06671838634600466,0.4455958549222798,3.190961427748993
"HighHunksCount, HighChangeSet, MajorContributor, -Complexity","HighChangeSet, MajorContributor, HighHunksCount",-Complexity,0.022498060512024826,0.6744186046511628,4.829586563307493
"MajorContributor, HighHunksCount, HighCodeChurn, -Complexity","MajorContributor, HighCodeChurn, HighHunksCount",-Complexity,0.022498060512024826,0.6744186046511628,4.829586563307493
"-Size, HighChangeSet, HighCodeChurn, HighHunksCount","HighChangeSet, HighCodeChurn, HighHunksCount",-Size,0.019394879751745538,0.5319148936170213,5.041458072590738
"MajorContributor, -Size, HighChangeSet, HighCodeChurn","MajorContributor, HighChangeSet, HighCodeChurn",-Size,0.04809930178432894,0.3212435233160622,3.0447272173117956
"-Size, HighChangeSet, MajorContributor, HighHunksCount","HighChangeSet, MajorContributor, HighHunksCount",-Size,0.018619084561675717,0.5581395348837209,5.290013679890561
"MajorContributor, -Size, HighCodeChurn, HighHunksCount","MajorContributor, HighCodeChurn, HighHunksCount",-Size,0.018619084561675717,0.5581395348837209,5.290013679890561
"+Contributor, +WordsInDiscussion, +Cohesion, +WordsPerComment, +NumPullRequests","+WordsPerComment, +Contributor, +NumPullRequests, +WordsInDiscussion",+Cohesion,0.01008533747090768,0.6842105263157895,20.044258373205743
"+Contributor, HighHunksCount, -Size, HighChangeSet, -Complexity","+Contributor, HighChangeSet, HighHunksCount","-Size, -Complexity",0.013188518231186967,0.3617021276595745,6.134658454647257
"+Contributor, HighHunksCount, -Size, HighCodeChurn, -Complexity","+Contributor, HighCodeChurn, HighHunksCount","-Size, -Complexity",0.013188518231186967,0.3617021276595745,6.134658454647257
"+Contributor, HighHunksCount, HighChangeSet, HighCodeChurn, -Complexity","+Contributor, HighChangeSet, HighCodeChurn, HighHunksCount",-Complexity,0.02482544608223429,0.6808510638297873,4.8756501182033105
"+Contributor, MajorContributor, HighChangeSet, HighCodeChurn, -Complexity","+Contributor, MajorContributor, HighChangeSet, HighCodeChurn",-Complexity,0.06671838634600466,0.4455958549222798,3.190961427748993
"+Contributor, MajorContributor, HighHunksCount, HighChangeSet, -Complexity","+Contributor, HighChangeSet, MajorContributor, HighHunksCount",-Complexity,0.022498060512024826,0.6744186046511628,4.829586563307493
"+Contributor, MajorContributor, HighHunksCount, HighCodeChurn, -Complexity","+Contributor, MajorContributor, HighCodeChurn, HighHunksCount",-Complexity,0.022498060512024826,0.6744186046511628,4.829586563307493
"+Contributor, HighHunksCount, -Size, HighChangeSet, HighCodeChurn","+Contributor, HighChangeSet, HighCodeChurn, HighHunksCount",-Size,0.019394879751745538,0.5319148936170213,5.041458072590738
"+Contributor, MajorContributor, -Size, HighChangeSet, HighCodeChurn","+Contributor, MajorContributor, HighChangeSet, HighCodeChurn",-Size,0.04809930178432894,0.3212435233160622,3.0447272173117956
"+Contributor, MajorContributor, HighHunksCount, -Size, HighChangeSet","+Contributor, HighChangeSet, MajorContributor, HighHunksCount",-Size,0.018619084561675717,0.5581395348837209,5.290013679890561
"+Contributor, MajorContributor, HighHunksCount, -Size, HighCodeChurn","+Contributor, MajorContributor, HighCodeChurn, HighHunksCount",-Size,0.018619084561675717,0.5581395348837209,5.290013679890561
"HighHunksCount, -Size, HighChangeSet, HighCodeChurn, -Complexity","HighChangeSet, HighCodeChurn, HighHunksCount","-Size, -Complexity",0.013188518231186967,0.3617021276595745,6.134658454647257
"MajorContributor, HighHunksCount, -Size, HighChangeSet, -Complexity","HighChangeSet, MajorContributor, HighHunksCount","-Size, -Complexity",0.012412723041117145,0.3720930232558139,6.310893512851896
"MajorContributor, HighHunksCount, -Size, HighCodeChurn, -Complexity","MajorContributor, HighCodeChurn, HighHunksCount","-Size, -Complexity",0.012412723041117145,0.3720930232558139,6.310893512851896
"MajorContributor, HighHunksCount, HighChangeSet, HighCodeChurn, -Complexity","MajorContributor, HighChangeSet, HighCodeChurn, HighHunksCount",-Complexity,0.022498060512024826,0.6744186046511628,4.829586563307493
"MajorContributor, HighHunksCount, -Size, HighChangeSet, HighCodeChurn","MajorContributor, HighChangeSet, HighCodeChurn, HighHunksCount",-Size,0.018619084561675717,0.5581395348837209,5.290013679890561
"+Contributor, HighHunksCount, -Size, HighChangeSet, HighCodeChurn, -Complexity","+Contributor, HighChangeSet, HighCodeChurn, HighHunksCount","-Size, -Complexity",0.013188518231186967,0.3617021276595745,6.134658454647257
"+Contributor, MajorContributor, HighHunksCount, -Size, HighChangeSet, -Complexity","+Contributor, HighChangeSet, MajorContributor, HighHunksCount","-Size, -Complexity",0.012412723041117145,0.3720930232558139,6.310893512851896
"+Contributor, MajorContributor, HighHunksCount, -Size, HighCodeChurn, -Complexity","+Contributor, MajorContributor, HighCodeChurn, HighHunksCount","-Size, -Complexity",0.012412723041117145,0.3720930232558139,6.310893512851896
"+Contributor, MajorContributor, HighHunksCount, HighChangeSet, HighCodeChurn, -Complexity","+Contributor, MajorContributor, HighHunksCount, HighChangeSet, HighCodeChurn",-Complexity,0.022498060512024826,0.6744186046511628,4.829586563307493
"+Contributor, MajorContributor, HighHunksCount, -Size, HighChangeSet, HighCodeChurn","+Contributor, MajorContributor, HighHunksCount, HighChangeSet, HighCodeChurn",-Size,0.018619084561675717,0.5581395348837209,5.290013679890561
"MajorContributor, HighHunksCount, -Size, HighChangeSet, HighCodeChurn, -Complexity","MajorContributor, HighChangeSet, HighCodeChurn, HighHunksCount","-Size, -Complexity",0.012412723041117145,0.3720930232558139,6.310893512851896
"+Contributor, MajorContributor, HighHunksCount, -Size, HighChangeSet, HighCodeChurn, -Complexity","+Contributor, MajorContributor, HighHunksCount, HighChangeSet, HighCodeChurn","-Size, -Complexity",0.012412723041117145,0.3720930232558139,6.310893512851896
