Items,Antecedent,Consequent,Support,Confidence,Lift
"+Size, +WordsInDiscussion, MajorContributor","+WordsInDiscussion, MajorContributor",+Size,0.034482758620689655,0.45145631067961167,1.5609970126960417
"+Size, +WordsInDiscussion, MinorContributor","+WordsInDiscussion, MinorContributor",+Size,0.023730070448646643,0.4848484848484848,1.6764568764568761
"+Size, +WordsPerComment, HighChangeSet","+WordsPerComment, HighChangeSet",+Size,0.01853911753800519,0.78125,2.701322115384615
"+Size, +WordsPerComment, MajorContributor","+WordsPerComment, MajorContributor",+Size,0.021134593993325918,0.5181818181818182,1.7917132867132866
"+Size, +WordsPerComment, MinorContributor","+WordsPerComment, MinorContributor",+Size,0.020763811642565813,0.5490196078431372,1.8983408748114627
"+Size, ExtractionRefactoring, MajorContributor","ExtractionRefactoring, MajorContributor",+Size,0.015943641082684465,0.5375,1.8585096153846152
"+Size, LowChangeSet, HighHunksCount","LowChangeSet, HighHunksCount",+Size,0.0196514645902855,0.6022727272727273,2.082473776223776
"+Size, MajorContributor, HighHunksCount","MajorContributor, HighHunksCount",+Size,0.053021876158694844,0.3638676844783715,1.2581424936386767
"+Size, LowCodeChurn, LowChangeSet","LowCodeChurn, LowChangeSet",+Size,0.04671857619577308,0.4300341296928328,1.486925702284064
"+Size, LowChangeSet, MajorContributor","LowChangeSet, MajorContributor",+Size,0.047460140897293286,0.4904214559386973,1.6957264957264955
"+Size, LowChangeSet, MinorContributor","LowChangeSet, MinorContributor",+Size,0.01557285873192436,0.375,1.2966346153846153
"+Size, LowCodeChurn, MajorContributor","LowCodeChurn, MajorContributor",+Size,0.041527623285131626,0.3128491620111732,1.081736140954018
"+Size, LowCodeChurn, MinorContributor","LowCodeChurn, MinorContributor",+Size,0.025583982202447165,0.34500000000000003,1.1929038461538461
"ExtractionRefactoring, -Size, -Complexity",ExtractionRefactoring,"-Size, -Complexity",0.010381905821282907,0.3111111111111111,4.63572744014733
"ExtractionRefactoring, MajorContributor, -Complexity","ExtractionRefactoring, MajorContributor",-Complexity,0.010752688172043012,0.36250000000000004,5.039497422680413
"HighHunksCount, HighChangeSet, -Complexity","HighChangeSet, HighHunksCount",-Complexity,0.010752688172043012,0.30526315789473685,4.243787303309821
"HighHunksCount, HighCodeChurn, -Complexity","HighCodeChurn, HighHunksCount",-Complexity,0.018168335187245088,0.32450331125827814,4.511265105482352
"-Size, ExtractionRefactoring, -Coupling",ExtractionRefactoring,"-Size, -Coupling",0.010011123470522803,0.3,2.6016077170418006
"-Coupling, HighChangeSet, HighHunksCount","HighChangeSet, HighHunksCount",-Coupling,0.01260659992584353,0.35789473684210527,2.198729169164369
"-Coupling, HighCodeChurn, HighHunksCount","HighCodeChurn, HighHunksCount",-Coupling,0.018168335187245088,0.32450331125827814,1.993588679871472
"ExtractionRefactoring, -Size, HighHunksCount","ExtractionRefactoring, HighHunksCount",-Size,0.011123470522803115,0.5555555555555556,2.3194014447884417
"ExtractionRefactoring, -Size, MajorContributor","ExtractionRefactoring, MajorContributor",-Size,0.013348164627363738,0.45,1.8787151702786378
"-Size, HighChangeSet, HighCodeChurn","HighChangeSet, HighCodeChurn",-Size,0.06859473489061921,0.30988274706867674,1.2937364842789802
"-Size, HighChangeSet, HighHunksCount","HighChangeSet, HighHunksCount",-Size,0.018909899888765295,0.5368421052631579,2.2412742382271467
"-Size, HighCodeChurn, HighHunksCount","HighCodeChurn, HighHunksCount",-Size,0.027437893956247683,0.4900662251655629,2.045988559243844
"-Size, HighCodeChurn, MinorContributor","HighCodeChurn, MinorContributor",-Size,0.012977382276603633,0.4166666666666667,1.7395510835913315
"-Size, MajorContributor, HighHunksCount","MajorContributor, HighHunksCount",-Size,0.05932517612161661,0.4071246819338422,1.6997140358754992
"LowChangeSet, +Cohesion, MajorContributor, HighHunksCount","LowChangeSet, MajorContributor, HighHunksCount",+Cohesion,0.010752688172043012,0.37662337662337664,4.8600633815944825
"+Size, LowChangeSet, +Complexity, HighHunksCount","LowChangeSet, HighHunksCount","+Size, +Complexity",0.011865035224323322,0.36363636363636365,5.359165424739195
"MajorContributor, LowChangeSet, +Complexity, HighHunksCount","LowChangeSet, MajorContributor, HighHunksCount",+Complexity,0.011494252873563218,0.40259740259740256,5.59693399384121
"+Size, +Contributor, +NumPullRequests, +WordsInDiscussion","+Contributor, +NumPullRequests, +WordsInDiscussion",+Size,0.02224694104560623,0.5714285714285714,1.9758241758241755
"+Size, +Contributor, +NumPullRequests, +WordsPerComment","+Contributor, +NumPullRequests, +WordsPerComment",+Size,0.0192806822395254,0.6190476190476191,2.1404761904761904
"+Size, +Contributor, +NumPullRequests, MajorContributor","+Contributor, +NumPullRequests, MajorContributor",+Size,0.013718946978123842,0.5441176470588235,1.8813914027149319
"+Size, +Contributor, +NumPullRequests, MinorContributor","+Contributor, +NumPullRequests, MinorContributor",+Size,0.02224694104560623,0.46153846153846156,1.5958579881656805
"+Size, +Contributor, +WordsInDiscussion, +WordsPerComment","+WordsPerComment, +Contributor, +WordsInDiscussion",+Size,0.028921023359288096,0.5864661654135338,2.02781954887218
"+Size, +Contributor, +WordsInDiscussion, HighChangeSet","+Contributor, +WordsInDiscussion, HighChangeSet",+Size,0.013718946978123842,0.9024390243902439,3.120356472795497
"+Size, +Contributor, +WordsInDiscussion, MajorContributor","+Contributor, +WordsInDiscussion, MajorContributor",+Size,0.011123470522803115,0.47619047619047616,1.6465201465201462
"+Size, +Contributor, +WordsInDiscussion, MinorContributor","+Contributor, +WordsInDiscussion, MinorContributor",+Size,0.021876158694846125,0.5462962962962963,1.8889245014245013
"+Size, +Contributor, +WordsPerComment, HighChangeSet","+Contributor, +WordsPerComment, HighChangeSet",+Size,0.01260659992584353,0.8947368421052632,3.0937246963562752
"+Size, +Contributor, +WordsPerComment, MinorContributor","+Contributor, +WordsPerComment, MinorContributor",+Size,0.0192806822395254,0.5977011494252874,2.0666666666666664
"+Size, +Contributor, HighChangeSet, MinorContributor","+Contributor, HighChangeSet, MinorContributor",+Size,0.02039302929180571,0.3055555555555556,1.056517094017094
"+Size, +Contributor, MajorContributor, HighHunksCount","+Contributor, MajorContributor, HighHunksCount",+Size,0.012977382276603633,0.32407407407407407,1.120548433048433
"+Size, +Contributor, LowChangeSet, LowCodeChurn","+Contributor, LowChangeSet, LowCodeChurn",+Size,0.01557285873192436,0.46153846153846156,1.5958579881656805
"+Size, +Contributor, LowChangeSet, MinorContributor","+Contributor, LowChangeSet, MinorContributor",+Size,0.010752688172043012,0.3815789473684211,1.3193825910931174
"+Size, +Contributor, LowCodeChurn, MinorContributor","+Contributor, LowCodeChurn, MinorContributor",+Size,0.02039302929180571,0.3618421052631579,1.2511386639676112
"+Contributor, -Coupling, MajorContributor, HighHunksCount","+Contributor, MajorContributor, HighHunksCount",-Coupling,0.01260659992584353,0.3148148148148148,1.9340673247279172
"+Contributor, -Size, HighChangeSet, HighCodeChurn","+Contributor, HighChangeSet, HighCodeChurn",-Size,0.011865035224323322,0.47058823529411764,1.9646694591149154
"+Contributor, -Size, MajorContributor, HighCodeChurn","+Contributor, MajorContributor, HighCodeChurn",-Size,0.011494252873563218,0.38749999999999996,1.617782507739938
"+Contributor, -Size, HighCodeChurn, MinorContributor","+Contributor, HighCodeChurn, MinorContributor",-Size,0.011123470522803115,0.44776119402985076,1.8693683286354605
"+Contributor, -Size, MajorContributor, HighHunksCount","+Contributor, MajorContributor, HighHunksCount",-Size,0.017797552836484983,0.4444444444444444,1.8555211558307534
"+NumPullRequests, HighHunksCount, MajorContributor, +Coupling","+NumPullRequests, MajorContributor, HighHunksCount",+Coupling,0.011123470522803115,0.4,2.13201581027668
"+Size, +WordsPerComment, MajorContributor, +Coupling","+WordsPerComment, MajorContributor","+Size, +Coupling",0.01260659992584353,0.3090909090909091,2.5969413763806286
"+Size, HighHunksCount, LowChangeSet, +Coupling","LowChangeSet, HighHunksCount","+Size, +Coupling",0.010381905821282907,0.3181818181818182,2.673322005097706
"+WordsPerComment, +WordsInDiscussion, MajorContributor, +Coupling","+WordsPerComment, +WordsInDiscussion, MajorContributor",+Coupling,0.015202076381164257,0.3727272727272727,1.9866510959396333
"HighHunksCount, LowChangeSet, MajorContributor, +Coupling","LowChangeSet, MajorContributor, HighHunksCount",+Coupling,0.010381905821282907,0.3636363636363636,1.9381961911606178
"+Size, +NumPullRequests, +WordsInDiscussion, +WordsPerComment","+WordsPerComment, +NumPullRequests, +WordsInDiscussion",+Size,0.028550241008527995,0.5789473684210527,2.001821862348178
"+Size, +NumPullRequests, +WordsInDiscussion, -WordsPerComment","+NumPullRequests, +WordsInDiscussion, -WordsPerComment",+Size,0.010752688172043012,0.5087719298245614,1.7591767881241565
"+Size, +NumPullRequests, +WordsInDiscussion, HighChangeSet","+NumPullRequests, +WordsInDiscussion, HighChangeSet",+Size,0.012235817575083427,0.9705882352941176,3.355995475113122
"+Size, +NumPullRequests, +WordsInDiscussion, MajorContributor","+NumPullRequests, +WordsInDiscussion, MajorContributor",+Size,0.02632554690396737,0.4930555555555555,1.7048344017094015
"+Size, +NumPullRequests, +WordsInDiscussion, MinorContributor","+NumPullRequests, +WordsInDiscussion, MinorContributor",+Size,0.01668520578420467,0.5487804878048781,1.897514071294559
"+Size, +NumPullRequests, +WordsPerComment, HighChangeSet","+NumPullRequests, +WordsPerComment, HighChangeSet",+Size,0.010752688172043012,0.9666666666666667,3.342435897435897
"+Size, +NumPullRequests, +WordsPerComment, MajorContributor","+NumPullRequests, +WordsPerComment, MajorContributor",+Size,0.014089729328883945,0.5428571428571428,1.8770329670329666
"+Size, +NumPullRequests, +WordsPerComment, MinorContributor","+NumPullRequests, +WordsPerComment, MinorContributor",+Size,0.014460511679644048,0.619047619047619,2.14047619047619
"+Size, +NumPullRequests, MajorContributor, HighHunksCount","+NumPullRequests, MajorContributor, HighHunksCount",+Size,0.011865035224323322,0.4266666666666667,1.4752820512820513
"+Size, +NumPullRequests, LowChangeSet, MajorContributor","+NumPullRequests, LowChangeSet, MajorContributor",+Size,0.011123470522803115,0.49180327868852464,1.7005044136191678
