change_id,commit_hash,old_path,current_path,PercentLackOfCohesion,CountClassCoupled,MaxNesting,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountDeclMethod,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,RatioCommentToCode,CountDeclInstanceVariable,CountDeclInstanceMethod,CountDeclMethodAll,CountDeclMethodDefault,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountClassBase,CountClassDerived,MaxInheritanceTree,TightClassCohesion,FANOUT,FANIN,LCOM2,LCOM3,ChangeSet,HunksCount,CodeChurn,ContributorCount,FileContributionPercentage,RefactoringCount,MoveRefactoringCount,ExtractionRefactoringCount,HierarchicalRefactoringCount,RenameRefactoringCount,num_pulls_classes,words_in_discussion_by_class,words_per_comment_by_class
223_change4,31c511f6947ccdd4bdad4e1232606d399a8647de,okhttp-tests/src/test/java/okhttp3/internal/connection/RouteSelectorTest.java,okhttp-tests/src/test/java/okhttp3/internal/connection/RouteSelectorTest.java,63.0,14.0,1.0,7.0,24.0,24.0,24.0,1.0,1.0,1.0,1.0,19.0,3.0,3.0,3.0,1.0,407.0,67.0,321.0,114.0,268.0,21.0,233.0,260.0,94.0,166.0,0.0,12.0,19.0,19.0,0.0,18.0,2.0,15.0,1.0,0.0,6.0,3.0,0.0,16.0,1.0,0.0,1.0,0.675,144.0,0.0,0.6812865497076024,0.7191358024691358,30,3,1156,10,0.52,88,1,9,0,15,0,1888,15.603305785123966
223_change5,d0418379a7c7a0c92781e4f5f75260d28a0b0145,okhttp-tests/src/test/java/okhttp3/internal/connection/RouteSelectorTest.java,okhttp-tests/src/test/java/okhttp3/internal/connection/RouteSelectorTest.java,63.0,14.0,1.0,7.0,24.0,24.0,24.0,1.0,1.0,1.0,1.0,19.0,3.0,3.0,3.0,1.0,407.0,67.0,321.0,114.0,268.0,21.0,233.0,260.0,94.0,166.0,0.0,12.0,19.0,19.0,0.0,18.0,2.0,15.0,1.0,0.0,6.0,3.0,0.0,16.0,1.0,0.0,1.0,0.675,144.0,0.0,0.6812865497076024,0.7191358024691358,28,2,73,10,0.0,88,1,9,0,15,1,1863,15.525
223_change6,85168a14c53fff360d89fe88856ac0072374f434,okhttp-tests/src/test/java/okhttp3/internal/connection/RouteSelectorTest.java,okhttp-tests/src/test/java/okhttp3/internal/connection/RouteSelectorTest.java,63.0,14.0,1.0,7.0,24.0,24.0,24.0,1.0,1.0,1.0,1.0,19.0,3.0,3.0,3.0,1.0,407.0,67.0,321.0,114.0,268.0,21.0,233.0,260.0,94.0,166.0,0.0,12.0,19.0,19.0,0.0,18.0,2.0,15.0,1.0,0.0,6.0,3.0,0.0,16.0,1.0,0.0,1.0,0.675,144.0,0.0,0.6812865497076024,0.7191358024691358,4,31,301,9,0.27,88,1,9,0,15,1,1863,15.525
223_change7,7131fb250c34882c32f084c5b01a28ad0b6de25c,okhttp-tests/src/test/java/okhttp3/internal/connection/RouteSelectorTest.java,okhttp-tests/src/test/java/okhttp3/internal/connection/RouteSelectorTest.java,62.0,13.0,1.0,6.0,22.0,22.0,22.0,1.0,1.0,1.0,1.0,17.0,3.0,3.0,3.0,1.0,314.0,53.0,247.0,85.0,198.0,16.0,166.0,191.0,67.0,124.0,0.0,12.0,17.0,17.0,0.0,15.0,1.0,13.0,0.0,0.0,6.0,3.0,0.0,14.0,1.0,0.0,1.0,0.6373626373626373,102.0,0.0,0.6862745098039216,0.7291666666666667,10,14,343,8,0.07,87,1,9,0,14,0,1863,15.525
223_change8,9e0b5b81b0ac25f59a25bd744dc788fe5c3e2971,okhttp-tests/src/test/java/okhttp3/internal/connection/RouteSelectorTest.java,okhttp-tests/src/test/java/okhttp3/internal/connection/RouteSelectorTest.java,62.0,12.0,1.0,7.0,22.0,22.0,22.0,1.0,1.0,1.0,1.0,17.0,3.0,3.0,3.0,1.0,303.0,53.0,236.0,74.0,187.0,16.0,166.0,191.0,67.0,124.0,0.0,12.0,17.0,17.0,0.0,15.0,1.0,12.0,0.0,0.0,6.0,3.0,0.0,14.0,1.0,0.0,1.0,0.6373626373626373,102.0,0.0,0.6862745098039216,0.7291666666666667,3,19,135,7,0.1,87,1,9,0,14,0,1818,15.672413793103448
223_change9,53d6612cb29ad38514fc8240bade2c7a5c7ce4e7,okhttp-tests/src/test/java/okhttp3/internal/connection/RouteSelectorTest.java,okhttp-tests/src/test/java/okhttp3/internal/connection/RouteSelectorTest.java,65.0,12.0,2.0,6.0,25.0,25.0,25.0,1.0,1.0,1.0,1.0,18.0,3.0,3.0,3.0,1.0,316.0,54.0,248.0,76.0,195.0,16.0,172.0,200.0,70.0,130.0,0.0,12.0,17.0,18.0,0.0,15.0,1.0,12.0,0.0,1.0,6.0,4.0,0.0,14.0,1.0,0.0,1.0,0.6373626373626373,88.0,0.0,0.7098765432098766,0.7516339869281046,8,1,59,7,0.8,84,1,9,0,14,0,1818,15.672413793103448
223_change10,2a5fb08b39195d4238c7117e851e9221f94de62a,okhttp-tests/src/test/java/okhttp3/internal/connection/RouteSelectorTest.java,okhttp-tests/src/test/java/okhttp3/internal/connection/RouteSelectorTest.java,63.0,12.0,2.0,7.0,24.0,24.0,24.0,1.0,1.0,1.0,1.0,17.0,3.0,3.0,3.0,1.0,310.0,53.0,243.0,73.0,192.0,16.0,170.0,197.0,68.0,129.0,0.0,12.0,16.0,17.0,0.0,15.0,1.0,12.0,0.0,1.0,6.0,4.0,0.0,13.0,1.0,0.0,1.0,0.7435897435897436,88.0,0.0,0.6928104575163399,0.7361111111111112,4,3,39,7,0.8,84,1,9,0,14,0,1818,15.672413793103448
223_change11,c5187583bbfe93fe58db80f95b5b478c84180c29,okhttp-tests/src/test/java/okhttp3/internal/http/RouteSelectorTest.java,okhttp-tests/src/test/java/okhttp3/internal/connection/RouteSelectorTest.java,60.0,12.0,2.0,6.0,24.0,24.0,24.0,1.0,1.0,1.0,1.0,17.0,3.0,3.0,3.0,1.0,325.0,56.0,255.0,73.0,204.0,16.0,182.0,209.0,68.0,141.0,0.0,12.0,16.0,17.0,0.0,16.0,2.0,13.0,0.0,1.0,6.0,4.0,0.0,13.0,1.0,0.0,1.0,0.7435897435897436,102.0,0.0,0.673202614379085,0.7152777777777778,63,3,466,7,0.8,84,1,9,0,14,0,1818,15.672413793103448
223_change12,8ceb7480f39d9e69fce451206644f80b0242b696,okhttp-tests/src/test/java/okhttp3/internal/http/RouteSelectorTest.java,okhttp-tests/src/test/java/okhttp3/internal/http/RouteSelectorTest.java,60.0,12.0,2.0,6.0,24.0,24.0,24.0,1.0,1.0,1.0,1.0,17.0,3.0,3.0,3.0,1.0,325.0,56.0,255.0,73.0,204.0,16.0,182.0,209.0,68.0,141.0,0.0,12.0,16.0,17.0,0.0,16.0,2.0,13.0,0.0,1.0,6.0,4.0,0.0,13.0,1.0,0.0,1.0,0.7435897435897436,102.0,0.0,0.673202614379085,0.7152777777777778,30,4,857,7,0.01,84,1,9,0,14,1,1818,15.672413793103448
223_change13,561613d57990912d3d8ddf7a4b6974a5d26c431c,okhttp-tests/src/test/java/okhttp3/internal/http/RouteSelectorTest.java,okhttp-tests/src/test/java/okhttp3/internal/http/RouteSelectorTest.java,60.0,12.0,2.0,6.0,24.0,24.0,24.0,1.0,1.0,1.0,1.0,17.0,3.0,3.0,3.0,1.0,325.0,56.0,255.0,73.0,204.0,16.0,182.0,209.0,68.0,141.0,0.0,12.0,16.0,17.0,0.0,16.0,2.0,13.0,0.0,1.0,6.0,4.0,0.0,13.0,1.0,0.0,1.0,0.7435897435897436,102.0,0.0,0.673202614379085,0.7152777777777778,14,1,531,6,0.81,82,0,8,0,14,0,1818,15.672413793103448
