change_id,commit_hash,old_path,current_path,PercentLackOfCohesion,CountClassCoupled,MaxNesting,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountDeclMethod,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,RatioCommentToCode,CountDeclInstanceVariable,CountDeclInstanceMethod,CountDeclMethodAll,CountDeclMethodDefault,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountClassBase,CountClassDerived,MaxInheritanceTree,TightClassCohesion,FANOUT,FANIN,LCOM2,LCOM3,ChangeSet,HunksCount,CodeChurn,ContributorCount,FileContributionPercentage,RefactoringCount,MoveRefactoringCount,ExtractionRefactoringCount,HierarchicalRefactoringCount,RenameRefactoringCount,num_pulls_classes,words_in_discussion_by_class,words_per_comment_by_class
295_change1,cc75c37eb777b000426a2373312e3b143c8ed9f7,imagepipeline/src/main/java/com/facebook/imagepipeline/producers/DiskCacheReadProducer.java,imagepipeline/src/main/java/com/facebook/imagepipeline/producers/DiskCacheReadProducer.java,71.0,12.0,1.0,11.0,12.0,12.0,14.0,1.0,1.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,139.0,11.0,115.0,40.0,71.0,13.0,47.0,64.0,26.0,38.0,0.0,4.0,5.0,7.0,1.0,15.0,0.0,15.0,0.0,2.0,3.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,30.0,1.0,0.7142857142857143,0.8333333333333334,693,7,21124,8,0.07,13,0,0,0,0,0,0,0
295_change2,eab75456a5b05e4b99c7f2c42695dec671926d65,imagepipeline/src/main/java/com/facebook/imagepipeline/producers/DiskCacheReadProducer.java,imagepipeline/src/main/java/com/facebook/imagepipeline/producers/DiskCacheReadProducer.java,71.0,12.0,1.0,11.0,12.0,12.0,14.0,1.0,1.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,145.0,11.0,121.0,44.0,74.0,13.0,47.0,64.0,26.0,38.0,0.0,4.0,5.0,7.0,1.0,16.0,0.0,15.0,0.0,2.0,3.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,30.0,1.0,0.7142857142857143,0.8333333333333334,49,10,1278,7,0.08,13,0,0,0,0,0,0,0
295_change3,53d7ce4016ee3908831d77406ac0a69c3e023db7,imagepipeline/src/main/java/com/facebook/imagepipeline/producers/DiskCacheReadProducer.java,imagepipeline/src/main/java/com/facebook/imagepipeline/producers/DiskCacheReadProducer.java,71.0,12.0,1.0,10.0,12.0,12.0,14.0,1.0,1.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,148.0,11.0,124.0,45.0,77.0,13.0,48.0,65.0,27.0,38.0,0.0,4.0,5.0,7.0,1.0,16.0,0.0,16.0,0.0,2.0,3.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,32.0,1.0,0.7346938775510203,0.8571428571428571,13,2,121,6,0.01,11,0,0,0,0,0,0,0
295_change4,5d419bcc450bd0e4fbc27546e94ac55ad20a3e60,imagepipeline/src/main/java/com/facebook/imagepipeline/producers/DiskCacheReadProducer.java,imagepipeline/src/main/java/com/facebook/imagepipeline/producers/DiskCacheReadProducer.java,71.0,12.0,1.0,10.0,12.0,12.0,14.0,1.0,1.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,148.0,11.0,124.0,45.0,77.0,13.0,48.0,65.0,27.0,38.0,0.0,4.0,5.0,7.0,1.0,16.0,0.0,16.0,0.0,2.0,3.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,32.0,1.0,0.7346938775510203,0.8571428571428571,611,1,1328,5,0.01,10,0,0,0,0,0,0,0
295_change5,61e4b986d455f328a261e259689a11088b9f4a86,imagepipeline/src/main/java/com/facebook/imagepipeline/producers/DiskCacheReadProducer.java,imagepipeline/src/main/java/com/facebook/imagepipeline/producers/DiskCacheReadProducer.java,71.0,12.0,1.0,10.0,12.0,12.0,14.0,1.0,1.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,148.0,11.0,124.0,45.0,77.0,13.0,48.0,65.0,27.0,38.0,0.0,4.0,5.0,7.0,1.0,16.0,0.0,16.0,0.0,2.0,3.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,32.0,1.0,0.7346938775510203,0.8571428571428571,643,2,4211,4,0.01,10,0,0,0,0,0,0,0
295_change6,f2268961dfd7d8be9ea3b3cf1a978c4d7d0aac9a,imagepipeline/src/main/java/com/facebook/imagepipeline/producers/DiskCacheReadProducer.java,imagepipeline/src/main/java/com/facebook/imagepipeline/producers/DiskCacheReadProducer.java,71.0,12.0,1.0,10.0,12.0,12.0,14.0,1.0,1.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,148.0,11.0,124.0,45.0,77.0,13.0,48.0,65.0,27.0,38.0,0.0,4.0,5.0,7.0,1.0,16.0,0.0,16.0,0.0,2.0,3.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,32.0,1.0,0.7346938775510203,0.8571428571428571,551,2,4029,3,0.03,10,0,0,0,0,0,0,0
295_change7,f07d30e673a439fa8a55e9fcddd5750fdc6ea1e9,imagepipeline/src/main/java/com/facebook/imagepipeline/producers/DiskCacheReadProducer.java,imagepipeline/src/main/java/com/facebook/imagepipeline/producers/DiskCacheReadProducer.java,71.0,12.0,1.0,10.0,12.0,12.0,14.0,1.0,1.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,148.0,11.0,124.0,45.0,77.0,13.0,48.0,65.0,27.0,38.0,0.0,4.0,5.0,7.0,1.0,16.0,0.0,16.0,0.0,2.0,3.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,32.0,1.0,0.7346938775510203,0.8571428571428571,4,2,62,2,0.91,10,0,0,0,0,0,0,0
295_change8,e4821d87f408604eb84c6a33979beb1195decd7e,imagepipeline/src/main/java/com/facebook/imagepipeline/producers/DiskCacheReadProducer.java,imagepipeline/src/main/java/com/facebook/imagepipeline/producers/DiskCacheReadProducer.java,71.0,12.0,1.0,10.0,12.0,12.0,14.0,1.0,1.0,2.0,1.0,7.0,3.0,3.0,3.0,3.0,148.0,11.0,124.0,45.0,77.0,13.0,48.0,65.0,27.0,38.0,0.0,4.0,5.0,7.0,1.0,16.0,0.0,16.0,0.0,2.0,3.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,32.0,1.0,0.7346938775510203,0.8571428571428571,3,11,109,2,0.91,10,0,0,0,0,0,0,0
295_change9,e8ef32f59652e390b2c295012a3071450e35022c,imagepipeline/src/main/java/com/facebook/imagepipeline/producers/DiskCacheReadProducer.java,imagepipeline/src/main/java/com/facebook/imagepipeline/producers/DiskCacheReadProducer.java,71.0,9.0,1.0,11.0,11.0,11.0,13.0,1.0,1.0,1.0,1.0,7.0,3.0,3.0,3.0,3.0,136.0,11.0,113.0,36.0,72.0,12.0,41.0,58.0,22.0,36.0,0.0,2.0,5.0,7.0,1.0,15.0,0.0,15.0,0.0,2.0,3.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,30.0,1.0,0.7428571428571429,0.8666666666666667,23,1,164,2,0.9,8,0,0,0,0,0,0,0
295_change10,43875a6ce2c0de4d2fe9554ed3e41274d5c25932,imagepipeline/src/main/java/com/facebook/imagepipeline/producers/DiskCacheReadProducer.java,imagepipeline/src/main/java/com/facebook/imagepipeline/producers/DiskCacheReadProducer.java,71.0,9.0,1.0,11.0,11.0,11.0,13.0,1.0,1.0,1.0,1.0,7.0,3.0,3.0,3.0,3.0,135.0,11.0,112.0,36.0,71.0,12.0,40.0,57.0,22.0,35.0,0.0,2.0,5.0,7.0,1.0,15.0,0.0,14.0,0.0,2.0,3.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,29.0,1.0,0.7428571428571429,0.8666666666666667,2,5,71,2,0.1,8,0,0,0,0,0,0,0
