items,antecedent,consequent,support_low,support_high,confidence_low,confidence_high,lift_low,lift_high
"-Cohesion, LowChangeSet, -Coupling, MinorContributor","LowChangeSet, MinorContributor","-Cohesion, -Coupling",0.031192660550458717,,0.4857142857142857,,10.588571428571427,
"-Cohesion, LowChangeSet, -Size, MinorContributor","LowChangeSet, MinorContributor","-Cohesion, -Size",0.03211009174311927,,0.5,,9.732142857142856,
"-Complexity, LowChangeSet, -Coupling, MinorContributor","LowChangeSet, MinorContributor","-Complexity, -Coupling",0.031192660550458717,,0.4857142857142857,,6.456445993031358,
"-Complexity, LowChangeSet, -Size, MinorContributor","LowChangeSet, MinorContributor","-Complexity, -Size",0.03577981651376147,,0.5571428571428572,,5.953781512605042,
"-Size, LowChangeSet, -Coupling, MinorContributor","LowChangeSet, MinorContributor","-Coupling, -Size",0.031192660550458717,,0.4857142857142857,,5.09065934065934,
"LowChangeSet, -Size, HighHunksCount, LowCodeChurn","LowChangeSet, HighHunksCount, LowCodeChurn",-Size,0.05045871559633028,0.011220196353436185,0.36423841059602646,0.5,1.4437086092715232,1.0625931445603578
"LowChangeSet, -Size, HighHunksCount, MajorContributor","LowChangeSet, HighHunksCount, MajorContributor",-Size,0.07155963302752294,0.0182328190743338,0.3644859813084112,0.48148148148148145,1.4446898895497027,1.023237842909974
"MajorContributor, -Size, HighHunksCount, LowCodeChurn","MajorContributor, HighHunksCount, LowCodeChurn",-Size,0.06330275229357799,0.04417952314165498,0.39655172413793105,0.63,1.5717868338557994,1.3388673621460507
"-Complexity, LowChangeSet, -Cohesion, -Coupling, +Contributor","LowChangeSet, +Contributor","-Cohesion, -Complexity, -Coupling",0.031192660550458717,,0.4533333333333333,,11.230303030303029,
"-Complexity, LowChangeSet, -Cohesion, -Size, +Contributor","LowChangeSet, +Contributor","-Cohesion, -Complexity, -Size",0.03302752293577982,,0.48,,10.061538461538461,
"-Complexity, LowChangeSet, -Cohesion, MinorContributor, +Contributor","LowChangeSet, MinorContributor, +Contributor","-Cohesion, -Complexity",0.031192660550458717,,0.5074626865671642,,10.63719862227325,
"LowChangeSet, -Cohesion, -Coupling, -Size, +Contributor","LowChangeSet, +Contributor","-Cohesion, -Coupling, -Size",0.031192660550458717,,0.4533333333333333,,10.513475177304963,
"LowChangeSet, -Cohesion, -Coupling, MinorContributor, +Contributor","LowChangeSet, MinorContributor, +Contributor","-Cohesion, -Coupling",0.031192660550458717,,0.5074626865671642,,11.062686567164178,
"LowChangeSet, -Cohesion, MinorContributor, -Size, +Contributor","LowChangeSet, MinorContributor, +Contributor","-Cohesion, -Size",0.031192660550458717,,0.5074626865671642,,9.877398720682303,
"-Complexity, LowChangeSet, -Coupling, -Size, +Contributor","LowChangeSet, +Contributor","-Size, -Complexity, -Coupling",0.03486238532110092,,0.5066666666666667,,6.734959349593496,
"-Complexity, LowChangeSet, -Coupling, MinorContributor, +Contributor","LowChangeSet, MinorContributor, +Contributor","-Complexity, -Coupling",0.031192660550458717,,0.5074626865671642,,6.745540589734255,
"-Complexity, LowChangeSet, MinorContributor, -Size, +Contributor","LowChangeSet, MinorContributor, +Contributor","-Complexity, -Size",0.03486238532110092,,0.5671641791044776,,6.060872110038044,
"LowChangeSet, -Coupling, MinorContributor, -Size, +Contributor","LowChangeSet, MinorContributor, +Contributor","-Size, -Coupling",0.031192660550458717,,0.5074626865671642,,5.318599311136625,
"-Complexity, LowChangeSet, -Cohesion, -Coupling, MinorContributor","LowChangeSet, MinorContributor","-Cohesion, -Complexity, -Coupling",0.030275229357798167,,0.4714285714285714,,11.678571428571427,
"-Complexity, LowChangeSet, -Cohesion, MinorContributor, -Size","LowChangeSet, MinorContributor","-Cohesion, -Complexity, -Size",0.03211009174311927,,0.5,,10.48076923076923,
"LowChangeSet, -Cohesion, -Coupling, MinorContributor, -Size","LowChangeSet, MinorContributor","-Cohesion, -Coupling, -Size",0.030275229357798167,,0.4714285714285714,,10.933130699088146,
"-Complexity, LowChangeSet, -Coupling, MinorContributor, -Size","LowChangeSet, MinorContributor","-Size, -Complexity, -Coupling",0.031192660550458717,,0.4857142857142857,,6.456445993031358,
"LowChangeSet, MajorContributor, LowCodeChurn, HighHunksCount, -Size","LowChangeSet, HighHunksCount, LowCodeChurn, MajorContributor",-Size,0.047706422018348627,0.011220196353436185,0.36879432624113473,0.5161290322580645,1.461766602192134,1.0968703427719821
"-Complexity, LowChangeSet, -Cohesion, -Coupling, -Size, +Contributor","LowChangeSet, +Contributor","-Cohesion, -Complexity, -Coupling, -Size",0.031192660550458717,,0.4533333333333333,,11.230303030303029,
"-Complexity, LowChangeSet, -Cohesion, -Coupling, MinorContributor, +Contributor","LowChangeSet, MinorContributor, +Contributor","-Cohesion, -Complexity, -Coupling",0.030275229357798167,,0.4925373134328358,,12.201492537313431,
"-Complexity, LowChangeSet, -Cohesion, MinorContributor, -Size, +Contributor","LowChangeSet, MinorContributor, +Contributor","-Cohesion, -Complexity, -Size",0.031192660550458717,,0.5074626865671642,,10.63719862227325,
"LowChangeSet, -Cohesion, -Coupling, MinorContributor, -Size, +Contributor","LowChangeSet, MinorContributor, +Contributor","-Cohesion, -Coupling, -Size",0.030275229357798167,,0.4925373134328358,,11.422673864718957,
"-Complexity, LowChangeSet, -Coupling, MinorContributor, -Size, +Contributor","LowChangeSet, MinorContributor, +Contributor","-Size, -Complexity, -Coupling",0.031192660550458717,,0.5074626865671642,,6.745540589734255,
"-Complexity, LowChangeSet, -Cohesion, -Coupling, MinorContributor, -Size","LowChangeSet, MinorContributor","-Cohesion, -Complexity, -Coupling, -Size",0.030275229357798167,,0.4714285714285714,,11.678571428571427,
"-Complexity, LowChangeSet, -Cohesion, -Coupling, MinorContributor, -Size, +Contributor","LowChangeSet, MinorContributor, +Contributor","-Cohesion, -Complexity, -Coupling, -Size",0.030275229357798167,,0.4925373134328358,,12.201492537313431,
-Size,,-Size,,0.47054698457223,,0.47054698457223,,1.0
"-Size, HighHunksCount",HighHunksCount,-Size,,0.1093969144460028,,0.3929471032745592,,0.835085796228795
"-Size, LowCodeChurn",LowCodeChurn,-Size,,0.12342215988779803,,0.36065573770491804,,0.7664606288632089
"-Size, MajorContributor",MajorContributor,-Size,,0.40953716690042075,,0.6814469078179697,,1.4482016252584573
"-Coupling, MajorContributor, +Contributor","MajorContributor, +Contributor",-Coupling,,0.016830294530154277,,0.42105263157894735,,2.4407359863072315
"+Size, LowChangeSet, HighHunksCount","LowChangeSet, HighHunksCount",+Size,,0.014726507713884993,,0.3684210526315789,,8.339181286549707
"LowChangeSet, -Size, LowCodeChurn","LowChangeSet, LowCodeChurn",-Size,,0.04488078541374474,,0.32323232323232326,,0.6869289015339687
"LowChangeSet, -Size, MajorContributor","LowChangeSet, MajorContributor",-Size,,0.06521739130434782,,0.45145631067961167,,0.9594287615933328
"+Size, LowChangeSet, HighHunksCount, MajorContributor","LowChangeSet, HighHunksCount, MajorContributor",+Size,,0.014726507713884993,,0.3888888888888889,,8.80246913580247
"LowChangeSet, -Size, MajorContributor, LowCodeChurn","LowChangeSet, MajorContributor, LowCodeChurn",-Size,,0.043478260869565216,,0.4246575342465753,,0.9024763693526325
